seed,policy,profile,targets,cleared,all_cleared,virtual_time_s,move_distance_m,detect_count,switch_count,decision_steps
3059,active,uniform,10,10,True,6824.656104377639,29498.280521888184,155,100,113
3060,fixed,uniform,11,11,True,7594.030899129917,33285.15449564957,157,97,0
3060,active,uniform,11,11,True,7348.717512126116,31948.587560630564,160,104,113
3061,fixed,uniform,11,11,True,7249.7204701090695,31723.602350545345,152,90,0
3061,active,uniform,11,11,True,7255.65945428037,31558.29727140184,159,94,118
3062,fixed,uniform,16,16,True,9077.787309946088,40708.936549730395,158,66,0
3062,active,uniform,16,16,True,8943.085408207327,39845.427041036586,164,74,138
3063,fixed,uniform,12,12,True,7919.012371414389,35125.06185707193,151,79,0
3063,active,uniform,12,12,True,8104.429670290387,35792.14835145191,160,86,127
3064,fixed,uniform,14,14,True,8472.06966255049,37740.3483127524,156,74,0
3064,active,uniform,14,14,True,8240.253324319865,36301.2666215993,166,80,137
3065,fixed,uniform,14,14,True,8979.338875393427,40341.69437696709,154,71,0
3065,active,uniform,14,14,True,8584.887361731571,38159.43680865782,160,83,132
3066,fixed,uniform,11,11,True,7659.06675897242,33660.333794862076,156,92,0
3066,active,uniform,11,11,True,7697.066758972418,33660.333794862076,163,95,120
3067,fixed,uniform,11,11,True,7523.327731136509,33051.63865568252,154,88,0
3067,active,uniform,11,11,True,7808.298128840195,34301.49064420095,160,93,120
3068,fixed,uniform,12,12,True,8324.039435291654,36895.19717645825,159,90,0
3068,active,uniform,12,12,True,8164.613665536733,35923.068327683635,165,95,123
3069,fixed,uniform,11,11,True,7081.341078360784,31291.705391803916,138,78,0
3069,active,uniform,11,11,True,6495.59780445322,28222.98902226611,142,86,108
3070,fixed,uniform,14,14,True,8860.71268020256,39778.56340101276,152,75,0
3070,active,uniform,14,14,True,8446.041236790763,37525.20618395379,158,81,127
3071,fixed,uniform,10,10,True,7394.770854521286,32368.85427260641,155,96,0
3071,active,uniform,10,10,True,7112.636956773779,30773.184783868877,161,103,115
3072,fixed,uniform,11,11,True,7791.062020981037,34245.31010490516,158,97,0
3072,active,uniform,11,11,True,7542.509998594102,32852.5499929705,163,102,117
3073,fixed,uniform,11,11,True,8006.825561461468,35724.12780730733,145,82,0
3073,active,uniform,11,11,True,7593.305285425317,33421.52642712658,153,89,118
3074,fixed,uniform,12,12,True,7804.962610578105,34539.8130528905,151,82,0
3074,active,uniform,12,12,True,7163.95423529061,31109.771176453036,158,92,123
3075,fixed,uniform,14,14,True,8529.791724389086,38158.9586219454,152,68,0
3075,active,uniform,14,14,True,8132.877678437211,35959.38839218604,159,76,134
3076,fixed,uniform,14,14,True,7764.473561432753,34492.36780716374,145,71,0
3076,active,uniform,14,14,True,7933.461570072452,35122.30785036224,153,74,124
3077,fixed,uniform,12,12,True,7298.375182584556,31596.87591292275,164,99,0
3077,active,uniform,12,12,True,7096.748463005881,30383.74231502937,171,105,123
3078,fixed,uniform,10,10,True,6412.4359991976235,27282.179995988114,161,101,0
3078,active,uniform,10,10,True,6449.316651169473,27281.583255847356,167,108,118
3079,fixed,uniform,14,14,True,9046.616538984505,40693.08269492251,153,73,0
3079,active,uniform,14,14,True,8298.827087946242,36714.13543973119,161,81,131
